Provider	Comparison	Info
1	9644	 Gender match: 1
1	9644	 Prime Spec match: 1
1	9644	 M Addr match: 5
4	35884	 Gender match: 1
4	35884	 Prime Spec match: 1
4	35884	 M Addr match: 7
6	13719	 Gender match: 1
6	13719	 Prime Spec match: 1
6	13719	 M Addr match: 6
9	6842	 Gender match: 1
9	6842	 Prime Spec match: 1
9	6842	 M Addr match: 6
9	6842	 P Addr match: 6
9	8411	 Gender match: 1
9	8411	 Prime Spec match: 1
9	8411	 M Addr match: 5
9	8411	 P Addr match: 5
9	41008	 Gender match: 1
9	41008	 M Addr match: 5
9	41008	 P Addr match: 6
10	10806	 Gender match: 1
10	10806	 Prime Spec match: 1
10	10806	 Phone match: 3
10	10806	 M Addr match: 7
10	10806	 P Addr match: 5
10	33107	 Gender match: 1
10	33107	 Prime Spec match: 1
10	33107	 M Addr match: 7
10	33107	 P Addr match: 6
10	33279	 Gender match: 1
10	33279	 Prime Spec match: 1
10	33279	 Phone match: 3
10	33279	 M Addr match: 7
10	33279	 P Addr match: 6
10	37438	 Gender match: 1
10	37438	 Prime Spec match: 1
10	37438	 M Addr match: 6
10	37438	 P Addr match: 6
10	59845	 Gender match: 1
10	59845	 Prime Spec match: 1
10	59845	 M Addr match: 6
10	59845	 P Addr match: 5
11	43872	 Gender match: 1
11	43872	 Prime Spec match: 1
11	43872	 M Addr match: 5
11	43872	 P Addr match: 6
11	44307	 Gender match: 1
11	44307	 Prime Spec match: 1
11	44307	 M Addr match: 6
11	44307	 P Addr match: 5
11	59780	 Gender match: 1
11	59780	 Prime Spec match: 1
11	59780	 M Addr match: 6
11	59780	 P Addr match: 6
16	524	 Gender match: 1
16	524	 M Addr match: 7
16	524	 P Addr match: 6
16	1874	 Gender match: 1
16	1874	 M Addr match: 7
16	1874	 P Addr match: 7
16	22189	 Gender match: 1
16	22189	 M Addr match: 5
16	22189	 P Addr match: 7
16	36073	 M Addr match: 7
16	40658	 Gender match: 1
16	40658	 Prime Spec match: 1
16	40658	 M Addr match: 7
16	40658	 P Addr match: 7
17	14525	 Gender match: 1
17	14525	 Prime Spec match: 1
17	14525	 Second Spec match: 1
17	14525	 M Addr match: 6
17	14525	 P Addr match: 5
17	15634	 Gender match: 1
17	15634	 Prime Spec match: 1
17	15634	 M Addr match: 6
17	18501	 Gender match: 1
17	18501	 Prime Spec match: 1
17	18501	 M Addr match: 6
17	18501	 P Addr match: 5
17	20633	 Gender match: 1
17	20633	 Prime Spec match: 1
17	20633	 Phone match: 3
17	20633	 M Addr match: 6
17	20633	 P Addr match: 5
